"ca","k","MAP","integralfnoc rel error (%)","averwp1 rel error (%)","averE rel error (%)","averB rel error (%)","f0","averw","averE","averB"
400,0.05,2000,5.45050418008527e-06,0.00112041125952918,0.0730743445887046,1.20966897045747e-05,0.643916378673628,0.182860327608929,0.0107184643897842,4.33702506687336
400,0.1,2000,0.000226327285721155,0.000287684090900234,0.00168197876315663,1.4512055113994e-05,0.532026397028431,0.165813049234495,0.0109521381515171,5.25039740624146
400,0.025,2100,5.54338571851777e-06,0.00114782845243048,0.178369207402805,8.97123001238363e-06,0.728580684049505,0.196077728529807,0.00978173267338589,3.53327285243869
400,0.05,2100,0.00198006745469614,0.00105552706827557,0.0704747339917654,1.22108896478036e-05,0.635918071706656,0.186860554363786,0.0111970198273527,4.47087200154704
400,0.1,2100,0.000230612418256541,0.000282041376645378,0.00160237230247653,1.48387619655468e-05,0.523487782961464,0.16880337678225,0.0114960531070242,5.4049949957868
400,0.025,2200,5.67725413371291e-06,0.00109959710936766,0.175238174021806,9.03904106193095e-06,0.723401384259701,0.199045802944217,0.0100741232263973,3.61614226277717
400,0.05,2200,0.00192049457464812,0.000997081865474055,0.0681950886599736,1.23285149065376e-05,0.628156829992133,0.190886018012728,0.0116641592689605,4.60088912737988
400,0.1,2200,0.000233758683842149,0.0181762114576616,0.00153278739624812,1.51756900095935e-05,0.515121812243152,0.171951132327714,0.012038272057695,5.55700474260279
400,0.025,2300,5.80885988026937e-06,0.00105687661030282,0.172618779650404,9.11069917979866e-06,0.718486398170308,0.201900433555162,0.0103520470823392,3.69480343844049
400,0.05,2300,0.00186471044827752,0.000944396545978021,0.066192299905059,1.24495111372674e-05,0.620631239185612,0.194919838661103,0.0121195013220073,4.727076040046
400,0.1,2300,0.000235945363332436,0.0159724692214323,0.00147174695142121,1.55222870854508e-05,0.506918016031249,0.175252292883123,0.0125783576104665,5.70654169439277
400,0.025,2400,5.93854414180135e-06,0.00101889542922067,0.170441792375704,9.18589286875008e-06,0.713819268138489,0.204644231278237,0.0106163416124542,3.76951540710656
400,0.05,2400,0.00181243808155616,0.00089687996665833,0.0644309875899208,1.25738158307754e-05,0.613339068816256,0.198947064148076,0.0125627835404487,4.84944949893134
400,0.1,2400,0.0002373235140893,0.0140866477050252,0.00141714924713661,1.58776535334638e-05,0.498868579634461,0.178701432471955,0.0131158347738184,5.85368368171868
400,0.025,2500,6.06660653373583e-06,0.000985071996869129,0.168650651618067,9.2643528186361e-06,0.709384426530077,0.207280434959072,0.0108678115136052,3.84052380117275
400,0.05,2500,0.0017634198459211,0.00085403926225953,0.0628581240642793,1.27013669276908e-05,0.606277304208064,0.202954627707352,0.0129938508573997,4.96804276622974
400,0.1,2500,0.000238021051758862,0.0124658181211418,0.00136867900688779,1.62408856457132e-05,0.49096783918125,0.182291823041603,0.0136502006727649,5.99847834490225
400,0.025,2600,6.19331273686179e-06,0.000955084013000424,0.167198817035214,9.34584797887623e-06,0.705167222226024,0.209812700869417,0.0111072237439434,3.90806025682191
400,0.05,2600,0.00171741654452887,0.000815512436651164,0.0614417678123077,1.28321079867839e-05,0.59944220069444,0.206931252109586,0.0134126427943712,5.08290411085674
400,0.1,2600,0.000238146666044986,0.0110672051629241,0.00132569936430637,1.66111074731342e-05,0.483211849641215,0.186015602823881,0.0141809348352697,6.14094936479142
400,0.025,2700,6.31890028857873e-06,0.0009289032690425,0.166047753177088,9.43018176952779e-06,0.701153919768615,0.212244942444898,0.0113353047842743,3.97234229092009
400,0.05,2700,0.00167420648812518,0.000781160359386685,0.0601955833086058,1.29659916538056e-05,0.592829365695227,0.210867324901656,0.0138191806597504,5.194094961152
400,0.1,2700,0.000237792994506486,0.00985593372408521,0.00128485438839956,1.69874946231489e-05,0.475598013607817,0.189863957578524,0.014707509463547,6.28110196088053
400,0.025,2800,6.44358379743781e-06,0.000905168577376387,0.165165381043647,9.51718832107399e-06,0.697331679508768,0.21458120932621,0.0115527395687576,4.03357351213366
400,0.05,2800,0.00163358456021175,0.00075148025715172,0.0591016378130991,1.31029810846403e-05,0.586433854284453,0.214754757848708,0.0142135552620583,5.30168792081801
400,0.1,2800,0.000237039202907587,0.00880336701561932,0.00124857404932777,1.73692911317833e-05,0.46812476336672,0.193827311538481,0.0152293992142054,6.4189276985249
400,0.025,2900,6.56755873712279e-06,0.000881918420836398,0.164524876800556,9.60672918229567e-06,0.693688525056709,0.216825596983248,0.0117601715915467,4.09194405820069
400,0.05,2900,0.00159536125972792,0.000727038942525188,0.0581447678213077,1.32430505897299e-05,0.58025026851729,0.218586840222112,0.0145959154676696,5.40576479177724
400,0.1,2900,0.000235953090866664,0.007885817218405,0.00121641910198877,1.77558207281436e-05,0.460791290523457,0.197895519132088,0.0157460901309351,6.55440864003435
400,0.025,3000,6.69100505003936e-06,0.000858434777359711,0.164103731609048,9.69869055238062e-06,0.690213302712409,0.218982180029727,0.0119582038218173,4.14763117916893
400,0.05,3000,0.00155936173426963,0.000695071192540799,0.0573121128301123,1.33861862890338e-05,0.57427285419453,0.22235809276742,0.0149664577865021,5.50641469537815
400,0.1,3000,0.000234592818757626,0.00708357757026056,0.00118732562866245,1.81464937446286e-05,0.453597318399488,0.202058050278906,0.0162570874890896,6.68752087538522
